Round,Location,Country,lat,long,Date,year,first,second,third
1,Melbourne,Australia,-37.8497,144.968,17-Mar,2018,Vettel,Hamilton,Raikkonen
2,Sakhir,Bahrain,26.0325,50.5106,28-Apr,2018,Vettel,Bottas,Hamilton
3,Shanghai,China,31.3389,121.22,23-Jun,2018,Ricciardo,Bottas,Raikkonen
4,Baku,Azerbaijan,40.3725,49.8533,14-Apr,2018,Hamilton,Raikkonen,Perez
5,Barcelona,Spain,41.3903,2.11667,13-Oct,2018,Hamilton,Bottas,Verstappen
6,Monte-Carlo,Monaco,43.7347,7.42056,08-Sep,2018,Vettel,Ricciardo,Hamilton
7,Montreal,Canada,45.5,-73.5228,09-Jun,2018,Vettel,Bottas,Verstappen
8,Rouen,France,49.3306,1.00458,01-Dec,2018,Hamilton,Verstappen,Raikkonen
9,Spielburg,Austria,47.2197,14.7647,31-Mar,2018,Verstappen,Raikkonen,Vettel
10,Silverstone,UK,52.0786,-1.01694,03-Nov,2018,Vettel,Hamilton,Raikkonen
11,Hockenheim,Germany,49.3278,8.56583,30-Jun,2018,Hamilton,Bottas,Raikkonen
12,Budapest,Hungary,47.5789,19.2486,14-Jul,2018,Hamilton,Vettel,Raikkonen
13,Spa,Belgium,50.4372,5.97139,12-May,2018,Vettel,Hamilton,Verstappen
14,Monza,Italy,45.6156,9.28111,28-Jul,2018,Hamilton,Raikkonen,Bottas
15,Marina Bay,Singapore,1.2914,103.864,29-Sep,2018,Hamilton,Verstappen,Vettel
16,Sochi,Russia,43.4057,39.9578,22-Sep,2018,Hamilton,Bottas,Vettel
17,Suzuka,Japan,34.8431,136.541,04-Aug,2018,Hamilton,Bottas,Verstappen
18,Mexico City,Mexico,19.4042,-99.0907,01-Sep,2018,Raikkonen,Verstappen,Hamilton
19,Austin,USA,30.1328,-97.6411,17-Nov,2018,Verstappen,Vettel,Raikkonen
20,São Paulo,Brazil,-23.7036,-46.6997,26-May,2018,Hamilton,Verstappen,Raikkonen
21,Abu Dhabi,UAE,24.4672,54.6031,27-Oct,2018,Hamilton,Vettel,Verstappen
